Year, Adjusted ACE Index (as % of 1981-2010 median)
1979,100.5405405
1980,161.0810811
1981,108.1081081
1982,34.59459459
1983,18.37837838
1984,90.81081081
1985,95.13513514
1986,38.91891892
1987,36.75675676
1988,111.3513514
1989,145.9459459
1990,104.8648649
1991,38.91891892
1992,82.16216216
1993,42.16216216
1994,34.59459459
1995,246.4864865
1996,179.4594595
1997,44.32432432
1998,196.7567568
1999,191.3513514
2000,128.6486486
2001,118.9189189
2002,72.43243243
2003,190.2702703
2004,245.4054054
2005,270.2702703
2006,85.40540541
2007,80
2008,157.8378378
2009,57.2972973
2010,178.3783784
2011,136.2162162
2012,139.4594595
2013,38.91891892
2014,72.43243243
2015,68.10810811
2016,152.4324324
2017,241.0810811
2018,144.8648649
2019,143.7837838
2020,194.5945946